Tanggal;TID;Menu;Qty;Harga;Subtotal
;220R0308;Kaastengels;3;85000;255000
2020-02-18;220R0309;Lidah Kucing;5;70000;350000
;220R0309;Dimsum Siomay Udang Keju;3;32000;96000
;220R0309;Brownies Cookies;1;40000;40000
;220R0309;Blueberry Cheese;7;65000;455000
2020-02-18;220R0310;Kaastengels;6;85000;510000
;220R0310;Dimsum Siomay Udang Keju;2;32000;64000
;220R0310;Lavarisol Triple Cheese;5;60000;300000
;220R0310;Dimsum Siomay Keju;7;30000;210000
;220R0310;Blueberry Cheese;6;65000;390000
2020-02-18;220R0311;Sagu Keju;4;75000;300000
;220R0311;Dimsum Siomay Keju;3;30000;90000
;220R0311;Lavarisol Original;3;60000;180000
2020-02-18;220R0312;Nastar Spesial;7;90000;630000
;220R0312;Brownies Cookies;5;40000;200000
;220R0312;Dimsum Siomay Udang Keju;5;32000;160000
;220R0312;Kaastengels;7;85000;595000
;220R0312;Pudding Buah;7;100000;700000
2020-02-19;220R0313;Pudding Buah;6;100000;600000
;220R0313;Brownies Cookies;7;40000;280000
2020-02-19;220R0314;Lavarisol Campur;3;60000;180000
;220R0314;Dimsum Siomay Keju;2;30000;60000
;220R0314;Blueberry Cheese;6;65000;390000
;220R0314;Lavarisol Smoked Beef;3;60000;180000
2020-02-19;220R0315;Lavarisol Smoked Beef;1;60000;60000
;220R0315;Cookies Hias;2;60000;120000
;220R0315;Blueberry Cheese;6;60000;360000
2020-02-19;220R0316;Blueberry Cheese;1;65000;65000
;220R0316;Dimsum Siomay Keju;1;30000;30000
;220R0316;Dimsum Siomay Crab;2;27000;54000
;220R0316;Dimsum Siomay Ayam;7;27000;189000
;220R0316;Kaastengels;7;85000;595000
2020-02-19;220R0317;Dimsum Siomay Keju;7;30000;210000
;220R0317;Sagu Keju;3;75000;225000
;220R0317;Lavarisol Original;6;60000;360000
2020-02-19;220R0318;Red Velvet;5;90000;450000
;220R0318;Pudding Buah;2;100000;200000
;220R0318;Dimsum Siomay Original;4;25000;100000
;220R0318;Kaastengels;7;85000;595000
2020-02-19;220R0319;Pudding Batik;1;120000;120000
;220R0319;Dimsum Siomay Keju;5;30000;150000
;220R0319;Dimsum Siomay Ayam;3;30000;90000
;220R0319;Red Velvet;6;90000;540000
;220R0319;Dimsum Siomay Udang Keju;7;32000;224000
2020-02-19;220R0320;Putri Salju;5;85000;425000
;220R0320;Dimsum Siomay Ayam;2;27000;54000
;220R0320;Brownies Cookies;7;85000;595000
2020-02-19;220R0321;Lidah Kucing;7;70000;490000
;220R0321;Dimsum Siomay Udang Keju;7;32000;224000
;220R0321;Cookies Hias;7;60000;420000
2020-02-19;220R0322;Lavarisol Triple Cheese;4;60000;240000
;220R0322;Cookies Hias;6;60000;360000
;220R0322;Dimsum Siomay Keju;1;30000;30000
;220R0322;Red Velvet;3;90000;270000
2020-02-19;220R0323;Sagu Keju;5;75000;375000
;220R0323;Brownies Cookies;1;40000;40000
;220R0323;Blueberry Cheese;1;65000;65000
;220R0323;Putri Salju;1;85000;85000
2020-02-19;220R0324;Pudding Buah;4;100000;400000
;220R0324;Dimsum Siomay Original;3;25000;75000
;220R0324;Pudding Batik;7;120000;840000
;220R0324;Dimsum Siomay Udang Keju;4;32000;128000
2020-02-19;220R0325;Nastar Spesial;7;90000;630000
;220R0325;Pudding Buah;4;100000;400000
2020-02-19;220R0326;Putri Salju;4;85000;340000
;220R0326;Blueberry Cheese;6;65000;390000
;220R0326;Pudding Batik;3;120000;360000
2020-02-19;220R0327;Dimsum Siomay Crab;2;27000;54000
;220R0327;Pudding Buah;1;100000;100000
;220R0327;Red Velvet;1;90000;90000
;220R0327;Nastar Spesial;2;90000;180000
2020-02-20;220R0328;Nastar Spesial;7;90000;630000
;220R0328;Cookies Hias;1;60000;60000
;220R0328;Dimsum Siomay Keju;3;30000;90000
;220R0328;Dimsum Siomay Ayam;2;27000;54000
2020-02-20;220R0329;Nastar Spesial;7;90000;630000
;220R0329;Putri Salju;4;85000;340000
;220R0329;Pudding Batik;3;120000;360000
2020-02-20;220R0330;Blueberry Cheese;5;65000;325000
;220R0330;Pudding Batik;3;120000;360000
;220R0330;Nastar Spesial;6;90000;540000
;220R0330;Sagu Keju;5;75000;375000
2020-02-20;220R0331;Pudding Buah;2;100000;200000
;220R0331;Dimsum Siomay Keju;2;30000;60000
;220R0331;Dimsum Siomay Crab;1;27000;27000
2020-02-20;220R0332;Lavarisol Smoked Beef;4;60000;240000
;220R0332;Dimsum Siomay Keju;4;30000;120000
;220R0332;Brownies Cookies;6;40000;240000
2020-02-20;220R0333;Putri Salju;4;85000;340000
;220R0333;Blueberry Cheese;4;65000;260000
2020-02-20;220R0334;Lavarisol Campur;7;60000;420000
;220R0334;Lidah Kucing;1;70000;70000
;220R0334;Lavarisol Smoked Beef;5;60000;300000
;220R0334;Lavarisol Triple Cheese;2;60000;120000
2020-02-20;220R0335;Nastar Spesial;2;90000;180000
;220R0335;Lavarisol Campur;1;60000;60000
;220R0335;Dimsum Siomay Keju;3;30000;90000
2020-02-20;220R0336;Dimsum Siomay Ayam;3;27000;81000
;220R0336;Brownies Cookies;3;40000;120000
;220R0336;Lavarisol Original;6;60000;360000
;220R0336;Sagu Keju;3;75000;225000
2020-02-20;220R0337;Lavarisol Original;6;60000;360000
;220R0337;Sagu Keju;6;75000;450000
;220R0337;Putri Salju;3;85000;255000
2020-02-20;220R0338;Red Velvet;2;90000;180000
;220R0338;Lavarisol Original;6;60000;360000
;220R0338;Lavarisol Smoked Beef;2;60000;120000
;220R0338;Sagu Keju;5;75000;375000
2020-02-20;220R0339;Dimsum Siomay Original;3;25000;75000
;220R0339;Putri Salju;6;85000;510000
;220R0339;Dimsum Siomay Keju;2;30000;60000
;220R0339;Cookies Hias;4;60000;240000
;220R0339;Lavarisol Campur;7;60000;420000
2020-02-20;220R0340;Sagu Keju;4;75000;300000
;220R0340;Dimsum Siomay Udang Keju;5;32000;160000
;220R0340;Dimsum Siomay Ayam;6;27000;162000
2020-02-20;220R0341;Lavarisol Campur;4;60000;240000
;220R0341;Dimsum Siomay Ayam;7;27000;189000
;220R0341;Dimsum Siomay Udang Keju;4;32000;128000
;220R0341;Dimsum Siomay Original;2;25000;50000
;220R0341;Brownies Cookies;6;40000;240000
2020-02-20;220R0342;Pudding Batik;1;120000;120000
;220R0342;Blueberry Cheese;2;65000;130000
;220R0342;Sagu Keju;7;75000;525000
2020-02-20;220R0343;Nastar Spesial;3;90000;270000
;220R0343;Dimsum Siomay Ayam;7;27000;189000
;220R0343;Dimsum Siomay Udang Keju;1;32000;32000
;220R0343;Putri Salju;5;85000;425000
2020-02-21;220R0344;Dimsum Siomay Keju;3;30000;90000
;220R0344;Pudding Buah;4;100000;400000
;220R0344;Nastar Spesial;7;90000;630000
2020-02-21;220R0345;Kaastengels;4;85000;340000
;220R0345;Lidah Kucing;7;70000;490000
;220R0345;Dimsum Siomay Keju;2;30000;60000
;220R0345;Lavarisol Smoked Beef;7;60000;420000
;220R0345;Lavarisol Triple Cheese;1;60000;60000
2020-02-21;220R0346;Brownies Cookies;7;40000;280000
;220R0346;Dimsum Siomay Keju;4;30000;120000
;220R0346;Pudding Batik;3;120000;360000
;220R0346;Red Velvet;4;90000;360000
2020-02-21;220R0347;Lavarisol Smoked Beef;7;60000;420000
;220R0347;Pudding Buah;2;100000;200000
;220R0347;Cookies Hias;2;60000;120000
;220R0347;Dimsum Siomay Udang Keju;1;32000;32000
;220R0347;Kaastengels;6;85000;510000
2020-02-21;220R0348;Red Velvet;5;90000;450000
;220R0348;Cookies Hias;4;60000;240000
;220R0348;Lavarisol Original;4;60000;240000
;220R0348;Red Velvet;6;90000;540000
2020-02-21;220R0349;Pudding Buah;7;100000;700000
;220R0349;Lavarisol Smoked Beef;2;60000;120000
;220R0349;Nastar Spesial;7;90000;630000
2020-02-21;220R0350;Kaastengels;4;85000;340000
;220R0350;Dimsum Siomay Original;3;85000;255000
;220R0350;Lavarisol Triple Cheese;5;60000;300000
2020-02-21;220R0351;Lavarisol Campur;4;60000;240000
;220R0351;Dimsum Siomay Ayam;6;27000;162000
;220R0351;Dimsum Siomay Udang Keju;1;32000;32000
;220R0351;Nastar Spesial;6;90000;540000
2020-02-21;220R0352;Blueberry Cheese;5;65000;325000
;220R0352;Brownies Cookies;1;40000;40000
;220R0352;Dimsum Siomay Udang Keju;1;32000;32000
;220R0352;Dimsum Siomay Original;1;25000;25000
2020-02-21;220R0353;Dimsum Siomay Udang Keju;4;32000;128000
;220R0353;Cookies Hias;5;60000;300000
;220R0353;Lavarisol Campur;1;60000;60000
2020-02-21;220R0354;Putri Salju;5;85000;425000
;220R0354;Dimsum Siomay Ayam;7;27000;189000
;220R0354;Lavarisol Campur;4;60000;240000
2020-02-21;220R0355;Dimsum Siomay Udang Keju;6;32000;192000
;220R0355;Putri Salju;7;85000;595000
;220R0355;Dimsum Siomay Keju;1;30000;30000
;220R0355;Lavarisol Triple Cheese;7;60000;420000
2020-02-22;220R0356;Kaastengels;6;85000;510000
;220R0356;Dimsum Siomay Original;2;25000;50000
;220R0356;Lavarisol Smoked Beef;5;60000;300000
;220R0356;Kaastengels;4;85000;340000
2020-02-22;220R0357;Dimsum Siomay Keju;4;30000;120000
;220R0357;Lavarisol Campur;5;60000;300000
;220R0357;Putri Salju;7;85000;595000
2020-02-22;220R0358;Red Velvet;3;90000;270000
;220R0358;Pudding Batik;1;120000;120000
;220R0358;Dimsum Siomay Keju;5;30000;150000
;220R0358;Pudding Buah;7;100000;700000
2020-02-22;220R0359;Lavarisol Original;3;60000;180000
;220R0359;Dimsum Siomay Udang Keju;4;32000;128000
;220R0359;Dimsum Siomay Keju;4;32000;128000
;220R0359;Dimsum Siomay Ayam;2;32000;64000
;220R0359;Dimsum Siomay Original;7;25000;175000
2020-02-22;220R0360;Lidah Kucing;2;70000;140000
;220R0360;Kaastengels;3;70000;210000
;220R0360;Brownies Cookies;2;40000;80000
2020-02-22;220R0361;Lavarisol Campur;1;60000;60000
;220R0361;Dimsum Siomay Crab;4;27000;108000
;220R0361;Brownies Cookies;5;40000;200000
2020-02-22;220R0362;Brownies Cookies;6;40000;240000
;220R0362;Blueberry Cheese;5;65000;325000
;220R0362;Lavarisol Campur;6;60000;360000
;220R0362;Cookies Hias;2;60000;120000
2020-02-22;220R0363;Dimsum Siomay Original;7;25000;175000
;220R0363;Dimsum Siomay Ayam;1;27000;27000
;220R0363;Putri Salju;5;85000;425000
;220R0363;Pudding Batik;7;120000;840000
2020-02-22;220R0364;Dimsum Siomay Ayam;1;27000;27000
;220R0364;Lavarisol Smoked Beef;7;60000;420000
;220R0364;Dimsum Siomay Crab;4;27000;108000
2020-02-22;220R0365;Brownies Cookies;5;40000;200000
;220R0365;Blueberry Cheese;4;65000;260000
;220R0365;Lavarisol Smoked Beef;4;60000;240000
;220R0365;Dimsum Siomay Udang Keju;2;32000;64000
2020-02-22;220R0366;Dimsum Siomay Crab;6;27000;162000
;220R0366;Dimsum Siomay Udang Keju;3;32000;96000
;220R0366;Lavarisol Triple Cheese;1;60000;60000
;220R0366;Dimsum Siomay Original;6;25000;150000
2020-02-22;220R0367;Dimsum Siomay Crab;4;27000;108000
;220R0367;Brownies Cookies;4;40000;160000
;220R0367;Kaastengels;3;85000;255000
;220R0367;Nastar Spesial;6;90000;540000
;220R0367;Lidah Kucing;7;70000;490000
2020-02-22;220R0368;Dimsum Siomay Original;7;25000;175000
;220R0368;Lavarisol Triple Cheese;3;60000;180000
2020-02-22;220R0369;Dimsum Siomay Crab;1;27000;27000
;220R0369;Lavarisol Triple Cheese;7;60000;420000
;220R0369;Brownies Cookies;2;40000;80000
2020-02-22;220R0370;Nastar Spesial;2;90000;180000
;220R0370;Pudding Batik;4;120000;480000
;220R0370;Dimsum Siomay Ayam;2;27000;54000
;220R0370;Blueberry Cheese;6;65000;390000
2020-02-23;220R0371;Lavarisol Original;1;60000;60000
;220R0371;Dimsum Siomay Keju;3;30000;90000
;220R0371;Dimsum Siomay Ayam;7;27000;189000
2020-02-23;220R0372;Pudding Buah;6;100000;600000
;220R0372;Cookies Hias;1;60000;60000
;220R0372;Blueberry Cheese;1;65000;65000
;220R0372;Red Velvet;5;90000;450000
2020-02-23;220R0373;Dimsum Siomay Udang Keju;2;32000;64000
;220R0373;Nastar Spesial;5;90000;450000
;220R0373;Kaastengels;6;85000;510000
;220R0373;Putri Salju;7;85000;595000
2020-02-23;220R0374;Dimsum Siomay Crab;7;27000;189000
;220R0374;Red Velvet;6;90000;540000
;220R0374;Sagu Keju;2;75000;150000
;220R0374;Dimsum Siomay Udang Keju;2;32000;64000
;220R0374;Lavarisol Smoked Beef;7;60000;420000
2020-02-23;220R0375;Dimsum Siomay Udang Keju;5;32000;160000
;220R0375;Brownies Cookies;3;40000;120000
;220R0375;Pudding Batik;1;120000;120000
2020-02-23;220R0376;Brownies Cookies;3;40000;120000
;220R0376;Kaastengels;5;85000;425000
;220R0376;Nastar Spesial;5;90000;450000
;220R0376;Red Velvet;6;90000;540000
2020-02-23;220R0377;Sagu Keju;4;75000;300000
;220R0377;Lavarisol Original;6;60000;360000
;220R0377;Nastar Spesial;4;90000;360000
2020-02-23;220R0378;Sagu Keju;5;75000;375000
;220R0378;Dimsum Siomay Original;2;25000;50000
;220R0378;Nastar Spesial;5;90000;450000
;220R0378;Pudding Buah;6;100000;600000
2020-02-23;220R0379;Lavarisol Campur;3;60000;180000
;220R0379;Dimsum Siomay Original;5;25000;125000
2020-02-23;220R0380;Putri Salju;6;85000;510000
;220R0380;Lidah Kucing;6;70000;420000
;220R0380;Lavarisol Campur;2;60000;120000
;220R0380;Lavarisol Triple Cheese;3;60000;180000
2020-02-23;220R0381;Nastar Spesial;4;90000;360000
;220R0381;Dimsum Siomay Crab;3;27000;81000
;220R0381;Nastar Spesial;3;90000;270000
;220R0381;Brownies Cookies;1;40000;40000
2020-02-23;220R0382;Brownies Cookies;3;40000;120000
;220R0382;Kaastengels;2;85000;170000
2020-02-23;220R0383;Putri Salju;7;85000;595000
;220R0383;Blueberry Cheese;4;65000;260000
;220R0383;Kaastengels;3;85000;255000
;220R0383;Pudding Buah;4;100000;400000
;220R0383;Blueberry Cheese;4;65000;260000
2020-02-23;220R0384;Brownies Cookies;7;40000;280000
;220R0384;Dimsum Siomay Keju;2;30000;60000
;220R0384;Pudding Batik;1;120000;120000
;220R0384;Lavarisol Original;1;60000;60000
2020-02-24;220R0385;Red Velvet;4;90000;360000
;220R0385;Lidah Kucing;6;70000;420000
;220R0385;Dimsum Siomay Crab;1;27000;27000
;220R0385;Pudding Buah;4;100000;400000
2020-02-24;220R0386;Dimsum Siomay Udang Keju;1;32000;32000
;220R0386;Lavarisol Campur;2;60000;120000
;220R0386;Dimsum Siomay Keju;2;30000;60000
2020-02-24;220R0387;Sagu Keju;2;75000;150000
;220R0387;Dimsum Siomay Original;3;25000;75000
;220R0387;Lavarisol Original;5;60000;300000
2020-02-24;220R0388;Kaastengels;5;85000;425000
;220R0388;Brownies Cookies;2;40000;80000
;220R0388;Lavarisol Smoked Beef;3;60000;180000
2020-02-24;220R0389;Sagu Keju;5;75000;375000
;220R0389;Dimsum Siomay Udang Keju;5;32000;160000
;220R0389;Pudding Buah;6;100000;600000
;220R0389;Red Velvet;3;90000;270000
2020-02-24;220R0390;Kaastengels;2;85000;170000
;220R0390;Pudding Batik;1;120000;120000
;220R0390;Pudding Buah;4;85000;340000
2020-02-24;220R0391;Brownies Cookies;2;40000;80000
;220R0391;Dimsum Siomay Ayam;2;27000;54000
;220R0391;Lavarisol Original;6;60000;360000
;220R0391;Lavarisol Triple Cheese;3;60000;180000
2020-02-24;220R0392;Lavarisol Original;7;60000;420000
;220R0392;Putri Salju;2;85000;170000
;220R0392;Sagu Keju;5;75000;375000
;220R0392;Dimsum Siomay Keju;4;30000;120000
2020-02-24;220R0393;Lavarisol Campur;2;60000;120000
;220R0393;Lavarisol Smoked Beef;1;60000;60000
;220R0393;Cookies Hias;3;60000;180000
2020-02-24;220R0394;Pudding Buah;6;100000;600000
;220R0394;Lavarisol Triple Cheese;4;60000;240000
;220R0394;Blueberry Cheese;2;65000;130000
2020-02-24;220R0395;Pudding Batik;2;120000;240000
;220R0395;Dimsum Siomay Ayam;6;27000;162000
2020-02-24;220R0396;Dimsum Siomay Ayam;5;27000;135000
;220R0396;Pudding Batik;3;120000;360000
;220R0396;Dimsum Siomay Keju;6;30000;180000
2020-02-24;220R0397;Cookies Hias;4;60000;240000
;220R0397;Pudding Batik;2;120000;240000
;220R0397;Dimsum Siomay Original;5;25000;125000
;220R0397;Putri Salju;1;85000;85000
2020-02-24;220R0398;Putri Salju;6;85000;510000
;220R0398;Pudding Buah;1;100000;100000
;220R0398;Brownies Cookies;3;40000;120000
2020-02-24;220R0399;Sagu Keju;6;75000;450000
;220R0399;Lidah Kucing;1;70000;70000
;220R0399;Blueberry Cheese;5;65000;325000
;220R0399;Kaastengels;7;85000;595000
2020-02-24;220R0400;Lidah Kucing;6;70000;420000
;220R0400;Kaastengels;7;85000;595000
;220R0400;Dimsum Siomay Keju;7;30000;210000
;220R0400;Red Velvet;2;90000;180000
2020-02-24;220R0401;Dimsum Siomay Keju;2;30000;60000
;220R0401;Dimsum Siomay Udang Keju;3;32000;96000
2020-02-25;220R0402;Sagu Keju;4;75000;300000
;220R0402;Dimsum Siomay Ayam;2;27000;54000
;220R0402;Red Velvet;2;90000;180000
2020-02-25;220R0403;Dimsum Siomay Keju;1;30000;30000
;220R0403;Lidah Kucing;6;70000;420000
;220R0403;Lavarisol Triple Cheese;7;60000;420000
;220R0403;Lavarisol Original;4;60000;240000
2020-02-25;220R0404;Dimsum Siomay Original;5;25000;125000
;220R0404;Dimsum Siomay Udang Keju;3;32000;96000
;220R0404;Dimsum Siomay Ayam;6;32000;192000
2020-02-25;220R0405;Lidah Kucing;5;70000;350000
;220R0405;Blueberry Cheese;1;65000;65000
;220R0405;Dimsum Siomay Udang Keju;7;32000;224000
;220R0405;Sagu Keju;7;75000;525000
2020-02-25;220R0406;Pudding Buah;3;100000;300000
;220R0406;Lavarisol Smoked Beef;1;60000;60000
;220R0406;Dimsum Siomay Keju;6;30000;180000
;220R0406;Lavarisol Triple Cheese;4;60000;240000
2020-02-25;220R0407;Dimsum Siomay Ayam;4;27000;108000
;220R0407;Blueberry Cheese;6;65000;390000
;220R0407;Dimsum Siomay Original;1;25000;25000
;220R0407;Red Velvet;7;90000;630000
2020-02-25;220R0408;Lavarisol Triple Cheese;2;60000;120000
;220R0408;Cookies Hias;3;60000;180000
;220R0408;Dimsum Siomay Udang Keju;5;32000;160000
;220R0408;Dimsum Siomay Keju;2;30000;60000
2020-02-25;220R0409;Pudding Buah;6;100000;600000
;220R0409;Pudding Batik;1;120000;120000
;220R0409;Red Velvet;7;90000;630000
;220R0409;Dimsum Siomay Crab;3;27000;81000
;220R0409;Pudding Buah;3;100000;300000
2020-02-25;220R0410;Lavarisol Campur;3;60000;180000
;220R0410;Pudding Buah;1;100000;100000
;220R0410;Lavarisol Triple Cheese;6;60000;360000
2020-02-25;220R0411;Lidah Kucing;7;70000;490000
;220R0411;Brownies Cookies;5;40000;200000
;220R0411;Putri Salju;2;85000;170000
;220R0411;Pudding Buah;7;100000;700000
2020-02-25;220R0412;Lavarisol Triple Cheese;5;60000;300000
;220R0412;Nastar Spesial;2;90000;180000
;220R0412;Lavarisol Campur;4;60000;240000
;220R0412;Pudding Buah;7;100000;700000
2020-02-25;220R0413;Lavarisol Triple Cheese;4;60000;240000
;220R0413;Kaastengels;5;85000;425000
;220R0413;Putri Salju;4;85000;340000
2020-02-25;220R0414;Kaastengels;7;85000;595000
;220R0414;Dimsum Siomay Keju;5;30000;150000
;220R0414;Cookies Hias;3;60000;180000
2020-02-25;220R0415;Pudding Buah;1;100000;100000
;220R0415;Sagu Keju;3;75000;225000
;220R0415;Putri Salju;6;85000;510000
;220R0415;Dimsum Siomay Ayam;5;27000;135000
2020-02-25;220R0416;Dimsum Siomay Udang Keju;2;32000;64000
;220R0416;Kaastengels;3;85000;255000
;220R0416;Lavarisol Triple Cheese;7;60000;420000
;220R0416;Dimsum Siomay Original;1;25000;25000
2020-02-25;220R0417;Dimsum Siomay Original;1;25000;25000
;220R0417;Blueberry Cheese;1;65000;65000
;220R0417;Lavarisol Smoked Beef;2;60000;120000
2020-02-25;220R0418;Putri Salju;5;85000;425000
;220R0418;Red Velvet;2;90000;180000
;220R0418;Cookies Hias;5;60000;300000
2020-02-25;220R0419;Dimsum Siomay Keju;6;30000;180000
;220R0419;Pudding Buah;7;100000;700000
;220R0419;Dimsum Siomay Udang Keju;2;32000;64000
;220R0419;Putri Salju;2;85000;170000
2020-02-25;220R0420;Nastar Spesial;4;90000;360000
;220R0420;Blueberry Cheese;1;65000;65000
;220R0420;Lavarisol Original;5;60000;300000
;220R0420;Nastar Spesial;5;90000;450000
2020-02-26;220R0421;Pudding Buah;6;100000;600000
;220R0421;Red Velvet;2;90000;180000
;220R0421;Lavarisol Campur;6;60000;360000
;220R0421;Lavarisol Triple Cheese;1;60000;60000
2020-02-26;220R0422;Dimsum Siomay Udang Keju;4;32000;128000
;220R0422;Brownies Cookies;3;40000;120000
;220R0422;Blueberry Cheese;1;65000;65000
2020-02-26;220R0423;Brownies Cookies;6;40000;240000
;220R0423;Dimsum Siomay Crab;6;27000;162000
;220R0423;Cookies Hias;6;60000;360000
;220R0423;Pudding Buah;6;100000;600000
2020-02-26;220R0424;Brownies Cookies;1;40000;40000
;220R0424;Dimsum Siomay Original;5;25000;125000
;220R0424;Dimsum Siomay Ayam;7;27000;189000
2020-02-26;220R0425;Red Velvet;4;90000;360000
;220R0425;Dimsum Siomay Ayam;2;27000;54000
;220R0425;Brownies Cookies;5;40000;200000
2020-02-26;220R0426;Lavarisol Triple Cheese;4;60000;240000
;220R0426;Pudding Batik;2;120000;240000
;220R0426;Dimsum Siomay Crab;2;27000;54000
2020-02-26;220R0427;Blueberry Cheese;1;65000;65000
;220R0427;Dimsum Siomay Keju;1;30000;30000
;220R0427;Lavarisol Smoked Beef;4;60000;240000
2020-02-26;220R0428;Nastar Spesial;3;90000;270000
;220R0428;Dimsum Siomay Ayam;7;27000;189000
;220R0428;Dimsum Siomay Udang Keju;6;32000;192000
;220R0428;Blueberry Cheese;5;65000;325000
2020-02-26;220R0429;Cookies Hias;1;60000;60000
;220R0429;Blueberry Cheese;4;65000;260000
;220R0429;Sagu Keju;1;75000;75000
2020-02-26;220R0430;Lidah Kucing;2;70000;140000
;220R0430;Pudding Batik;4;120000;480000
;220R0430;Cookies Hias;4;60000;240000
;220R0430;Putri Salju;1;85000;85000
;220R0430;Dimsum Siomay Udang Keju;1;32000;32000
2020-02-26;220R0431;Lavarisol Campur;7;60000;420000
;220R0431;Lavarisol Smoked Beef;5;60000;300000
;220R0431;Cookies Hias;5;60000;300000
2020-02-26;220R0432;Red Velvet;5;90000;450000
;220R0432;Lavarisol Triple Cheese;7;60000;420000
2020-02-26;220R0433;Brownies Cookies;1;40000;40000
;220R0433;Pudding Batik;1;120000;120000
;220R0433;Lavarisol Campur;6;60000;360000
;220R0433;Lavarisol Smoked Beef;7;60000;420000
2020-02-26;220R0434;Putri Salju;6;85000;510000
;220R0434;Blueberry Cheese;2;65000;130000
;220R0434;Brownies Cookies;6;40000;240000
2020-02-26;220R0435;Dimsum Siomay Original;3;25000;75000
;220R0435;Kaastengels;5;85000;425000
;220R0435;Blueberry Cheese;6;65000;390000
;220R0435;Dimsum Siomay Ayam;6;27000;162000
2020-02-26;220R0436;Lavarisol Smoked Beef;1;60000;60000
;220R0436;Nastar Spesial;5;90000;450000
;220R0436;Dimsum Siomay Ayam;1;27000;27000
;220R0436;Dimsum Siomay Original;2;25000;50000
2020-02-27;220R0437;Putri Salju;1;85000;85000
;220R0437;Kaastengels;6;85000;510000
;220R0437;Dimsum Siomay Ayam;7;27000;189000
;220R0437;Lavarisol Campur;7;60000;420000
2020-02-27;220R0438;Brownies Cookies;1;40000;40000
;220R0438;Dimsum Siomay Ayam;7;27000;189000
;220R0438;Red Velvet;3;90000;270000
;220R0438;Dimsum Siomay Original;2;25000;50000
2020-02-27;220R0439;Putri Salju;3;85000;255000
;220R0439;Lidah Kucing;7;70000;490000
;220R0439;Cookies Hias;1;60000;60000
2020-02-27;220R0440;Kaastengels;3;85000;255000
;220R0440;Lavarisol Campur;3;60000;180000
2020-02-27;220R0441;Lavarisol Original;1;60000;60000
2020-02-27;220R0442;Cookies Hias;7;60000;420000
;220R0442;Red Velvet;4;90000;360000
;220R0442;Dimsum Siomay Original;3;25000;75000
;220R0442;Lavarisol Triple Cheese;6;60000;360000
2020-02-27;220R0443;Sagu Keju;2;75000;150000
;220R0443;Red Velvet;3;90000;270000
;220R0443;Lidah Kucing;2;70000;140000
;220R0443;Pudding Batik;5;120000;600000
2020-02-27;220R0444;Dimsum Siomay Original;5;25000;125000
;220R0444;Pudding Buah;2;100000;200000
;220R0444;Kaastengels;7;85000;595000
2020-02-27;220R0445;Red Velvet;3;90000;270000
;220R0445;Blueberry Cheese;7;65000;455000
;220R0445;Pudding Batik;5;120000;600000
2020-02-27;220R0446;Sagu Keju;6;75000;450000
;220R0446;Lavarisol Original;5;60000;300000
;220R0446;Dimsum Siomay Original;4;25000;100000
;220R0446;Sagu Keju;4;75000;300000
2020-02-27;220R0447;Pudding Batik;1;120000;120000
;220R0447;Pudding Buah;2;120000;240000
;220R0447;Kaastengels;4;85000;340000
2020-02-27;220R0448;Dimsum Siomay Udang Keju;5;32000;160000
;220R0448;Nastar Spesial;3;90000;270000
;220R0448;Pudding Batik;5;120000;600000
2020-02-27;220R0449;Lavarisol Smoked Beef;5;60000;300000
;220R0449;Lavarisol Original;3;60000;180000
;220R0449;Pudding Batik;3;120000;360000
;220R0449;Kaastengels;1;85000;85000
2020-02-27;220R0450;Lavarisol Original;2;60000;120000
;220R0450;Cookies Hias;7;60000;420000
2020-02-27;220R0451;Dimsum Siomay Keju;3;30000;90000
;220R0451;Lavarisol Smoked Beef;3;60000;180000
;220R0451;Lavarisol Triple Cheese;5;60000;300000
;220R0451;Pudding Batik;5;120000;600000
2020-02-27;220R0452;Kaastengels;5;85000;425000
;220R0452;Nastar Spesial;3;90000;270000
;220R0452;Lidah Kucing;6;70000;420000
2020-02-27;220R0453;Dimsum Siomay Original;3;25000;75000
;220R0453;Lavarisol Triple Cheese;4;60000;240000
;220R0453;Dimsum Siomay Udang Keju;1;32000;32000
2020-02-27;220R0454;Cookies Hias;5;60000;300000
;220R0454;Brownies Cookies;5;40000;200000
;220R0454;Lavarisol Triple Cheese;1;60000;60000
2020-02-27;220R0455;Brownies Cookies;2;40000;80000
;220R0455;Nastar Spesial;1;90000;90000
;220R0455;Lavarisol Original;5;60000;300000
2020-02-27;220R0456;Nastar Spesial;5;90000;450000
;220R0456;Lavarisol Campur;4;60000;240000
2020-02-27;220R0457;Lavarisol Smoked Beef;4;60000;240000
;220R0457;Sagu Keju;5;75000;375000
;220R0457;Dimsum Siomay Original;4;25000;100000
2020-02-27;220R0458;Dimsum Siomay Udang Keju;7;32000;224000
;220R0458;Kaastengels;3;85000;255000
;220R0458;Nastar Spesial;7;90000;630000
;220R0458;Dimsum Siomay Crab;5;27000;135000
2020-02-28;220R0459;Kaastengels;4;85000;340000
;220R0459;Putri Salju;6;85000;510000
;220R0459;Lavarisol Original;5;60000;300000
;220R0459;Dimsum Siomay Original;2;25000;50000
2020-02-28;220R0460;Dimsum Siomay Udang Keju;1;32000;32000
;220R0460;Kaastengels;1;85000;85000
;220R0460;Lavarisol Smoked Beef;6;60000;360000
2020-02-28;220R0461;Dimsum Siomay Keju;4;30000;120000
